método;cenário;tamanho;trocas;tempo
bucket;Ordenados;75000;0;2,188000
bucket;Ordenados;7500;0;0,235000
bucket;Decrescentes;1000000;402304509;1227,066000
bucket;Decrescentes;100000;24938422;77,447000
bucket;Decrescentes;10000;492969;1,727000
bucket;Decrescentes;1000;15583;0,133000
bucket;Decrescentes;100;497;0,011000
bucket;Decrescentes;1250000;7785568864;23717,940000
bucket;Decrescentes;1500000;1072864410;3279,479000
bucket;Decrescentes;15000;914571;3,243000
bucket;Decrescentes;2000000;38981312866;118847,907000
bucket;Decrescentes;200000;44349770;138,027000
bucket;Decrescentes;2000;44198;0,229000
bucket;Decrescentes;200;1359;0,015000
bucket;Decrescentes;30000;2744413;8,990000
bucket;Decrescentes;500000;160418079;492,065000
bucket;Decrescentes;50000;5577326;18,495000
bucket;Decrescentes;5000;174716;0,794000
bucket;Decrescentes;500;5605;0,039000
bucket;Decrescentes;750000;4476270630;13646,954000
bucket;Decrescentes;75000;10134960;32,445000
bucket;Decrescentes;7500;319833;1,188000
bucket;ParcialmenteOrdenados;1000000;20249;19,537000
bucket;ParcialmenteOrdenados;100000;7325;2,766000
bucket;ParcialmenteOrdenados;10000;2492;0,296000
bucket;ParcialmenteOrdenados;1000;793;0,050000
bucket;ParcialmenteOrdenados;100;161;0,007000
bucket;ParcialmenteOrdenados;1250000;17760;23,630000
bucket;ParcialmenteOrdenados;1500000;21637;28,576000
bucket;ParcialmenteOrdenados;15000;3152;0,389000
bucket;ParcialmenteOrdenados;2000000;24405;36,688000
bucket;ParcialmenteOrdenados;200000;9667;4,782000
bucket;ParcialmenteOrdenados;2000;1067;0,092000
bucket;ParcialmenteOrdenados;200;297;0,011000
bucket;ParcialmenteOrdenados;30000;4233;0,697000
bucket;ParcialmenteOrdenados;500000;15253;10,736000
bucket;ParcialmenteOrdenados;50000;4831;1,837000
bucket;ParcialmenteOrdenados;5000;1695;0,162000
bucket;ParcialmenteOrdenados;500;429;0,024000
bucket;ParcialmenteOrdenados;750000;14852;14,848000
bucket;ParcialmenteOrdenados;75000;5973;2,260000
bucket;ParcialmenteOrdenados;7500;1911;0,243000
insertion;Aleatórios;1000000;249656445773;762266,569000
insertion;Aleatórios;100000;2487623102;7522,183000
insertion;Aleatórios;10000;25127766;75,609000
insertion;Aleatórios;1000;242285;0,710000
insertion;Aleatórios;100;2320;0,009000
insertion;Aleatórios;1250000;390361807907;1183038,010000
insertion;Aleatórios;1500000;562524061196;1690018,011000
insertion;Aleatórios;15000;56655180;169,533000
insertion;Aleatórios;2000000;1000596643362;3020346,371000
insertion;Aleatórios;200000;10017382493;30246,197000
insertion;Aleatórios;2000;1020378;3,072000
insertion;Aleatórios;200;10501;0,034000
insertion;Aleatórios;30000;223898990;670,266000
insertion;Aleatórios;500000;62398054464;188799,866000
insertion;Aleatórios;50000;626213038;1883,246000
insertion;Aleatórios;5000;6229620;18,595000
insertion;Aleatórios;500;63916;0,282000
insertion;Aleatórios;750000;140461175701;423122,178000
insertion;Aleatórios;75000;1405529316;4237,784000
insertion;Aleatórios;7500;14135727;43,425000
insertion;Ordenados;1000000;0;2,464000
insertion;Ordenados;100000;0;0,246000
insertion;Ordenados;10000;0;0,025000
insertion;Ordenados;1000;0;0,003000
insertion;Ordenados;100;0;0,001000
insertion;Ordenados;1250000;0;3,078000
insertion;Ordenados;1500000;0;3,698000
insertion;Ordenados;15000;0;0,057000
insertion;Ordenados;2000000;0;4,930000
insertion;Ordenados;200000;0;0,490000
insertion;Ordenados;2000;0;0,006000
insertion;Ordenados;200;0;0,001000
insertion;Ordenados;30000;0;0,074000
insertion;Ordenados;500000;0;1,225000
insertion;Ordenados;50000;0;0,123000
insertion;Ordenados;5000;0;0,013000
insertion;Ordenados;500;0;0,002000
insertion;Ordenados;750000;0;1,839000
insertion;Ordenados;75000;0;0,185000
insertion;Ordenados;7500;0;0,019000
insertion;Decrescentes;1000000;499898945886;1514271,333000
insertion;Decrescentes;100000;4998943436;15079,499000
insertion;Decrescentes;10000;49984816;149,579000
insertion;Decrescentes;1000;499398;1,491000
insertion;Decrescentes;100;4950;0,024000
insertion;Decrescentes;1250000;781092263392;2365788,874000
insertion;Decrescentes;1500000;1124772934347;3409335,451000
insertion;Decrescentes;15000;112470052;338,459000
insertion;Decrescentes;2000000;1999596732062;6021550,309000
insertion;Decrescentes;200000;19995875941;59753,712000
insertion;Decrescentes;2000;1998603;6,032000
insertion;Decrescentes;200;19897;0,058000
insertion;Decrescentes;30000;449894311;1349,328000
insertion;Decrescentes;500000;124974616679;376132,634000
insertion;Decrescentes;50000;1249723614;3758,372000
insertion;Decrescentes;5000;12495004;38,189000
insertion;Decrescentes;500;124729;0,529000
insertion;Decrescentes;750000;281193046742;847207,951000
insertion;Decrescentes;75000;2811896825;8452,824000
insertion;Decrescentes;7500;28115568;83,854000
insertion;ParcialmenteOrdenados;1000000;605648;4,549000
insertion;ParcialmenteOrdenados;100000;555524;1,957000
insertion;ParcialmenteOrdenados;10000;189215;0,612000
insertion;ParcialmenteOrdenados;1000;14432;0,047000
insertion;ParcialmenteOrdenados;100;1412;0,006000
insertion;ParcialmenteOrdenados;1250000;542933;4,726000
insertion;ParcialmenteOrdenados;1500000;564329;5,808000
insertion;ParcialmenteOrdenados;15000;220272;1,175000
insertion;ParcialmenteOrdenados;2000000;421506;6,191000
insertion;ParcialmenteOrdenados;200000;633324;2,416000
insertion;ParcialmenteOrdenados;2000;29278;0,094000
insertion;ParcialmenteOrdenados;200;2997;0,011000
insertion;ParcialmenteOrdenados;30000;476173;2,558000
insertion;ParcialmenteOrdenados;500000;445301;2,629000
insertion;ParcialmenteOrdenados;50000;500505;1,661000
insertion;ParcialmenteOrdenados;5000;78757;0,256000
insertion;ParcialmenteOrdenados;500;6390;0,022000
insertion;ParcialmenteOrdenados;750000;685084;3,934000
insertion;ParcialmenteOrdenados;75000;535207;1,825000
insertion;ParcialmenteOrdenados;7500;127915;0,409000
selection;Aleatórios;1000000;999834;901002,034000
selection;Aleatórios;100000;99973;7333,675000
selection;Aleatórios;10000;9987;72,847000
selection;Aleatórios;1000;991;0,776000
selection;Aleatórios;100;96;0,012000
selection;Aleatórios;1250000;1249781;1405304,337000
selection;Aleatórios;1500000;1499729;2100262,856000
selection;Aleatórios;15000;14987;160,711000
selection;Aleatórios;2000000;1999613;3681204,256000
selection;Aleatórios;200000;199952;35358,974000
selection;Aleatórios;2000;1991;4,101000
selection;Aleatórios;200;197;0,039000
selection;Aleatórios;30000;29985;634,044000
selection;Aleatórios;500000;499885;234755,681000
selection;Aleatórios;50000;49976;1757,756000
selection;Aleatórios;5000;4989;17,926000
selection;Aleatórios;500;491;0,203000
selection;Aleatórios;750000;749853;529791,237000
selection;Aleatórios;75000;74975;5417,599000
selection;Aleatórios;7500;7488;41,266000
selection;Ordenados;1000000;0;930081,524000
selection;Ordenados;100000;0;7013,859000
selection;Ordenados;10000;0;70,521000
selection;Ordenados;1000;0;0,891000
selection;Ordenados;100;0;0,013000
selection;Ordenados;1250000;0;1568541,893000
selection;Ordenados;1500000;0;1642914,726000
